### Updated - re-ran this step on 3-26-21  
#Significant genes in Sensory Perception of Light Stim (212 genes in geneset originally)
        #Homo Gene mods before Actinula join = 145 (Homo Gene Mods)
        #119 Unique Homo OG
        #516 Hydractinia gene models mapped to genes in this geneset  #Actinula_sensory_percep_light_stim.txt
        #375 Unique Hydractinia Headers
        #96 Unique Hydractinia OG 


# Stage 1 vs Stage 2  
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.84026	OG0005663	WDR36	0.804255539	4.256889331	3.27E-08
Hs_planula_t.24836	OG0006019	LAMB2	-0.664909676	8.310452315	9.05E-09
Hs_planula_t.90763	OG0006759	LAMC3	-1.506062441	7.620738566	3.67E-28
Hs_planula_t.24676	OG0007959	ADGRV1	0.829314111	6.390769665	1.62E-06



# Stage 1 vs Stage 4
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.36207	OG0000002	SEMA5B	0.895364338	4.632898315	6.95E-08
Hs_planula_t.25097	OG0000056	GUCY2F	0.778035188	4.718248145	2.86E-07
Hs_planula_t.47554	OG0000060	SOX14	-0.743609888	7.601399694	5.38E-07
Hs_planula_t.48675	OG0000060	SOX14	-1.202548281	5.384905345	1.94E-17
Hs_planula_t.62380	OG0000060	SOX14	-0.931789711	5.48199727	1.17E-11
Hs_planula_t.23286	OG0000093	CDH23	1.974818135	4.929614625	6.81E-12
Hs_planula_t.25179	OG0000093	CDH23	1.622291035	6.973866491	3.01E-10
Hs_planula_t.49134	OG0000093	CDH23	0.641231225	7.153134127	1.23E-05
Hs_planula_t.78332	OG0000093	CDH23	1.140334656	7.031175211	5.13E-17
Hs_planula_t.88759	OG0000093	CDH23	1.139278897	6.383274825	8.70E-13
Hs_planula_t.36723	OG0000129	PAX2	-0.761382737	4.360842329	1.58E-05
Hs_planula_t.92543	OG0000218	MIP	0.723678438	4.25882723	1.64E-06
Hs_planula_t.50251	OG0000241	GRM6	0.696116699	4.561582468	1.61E-06
Hs_planula_t.25278	OG0000316	RIMS1	-0.689630117	5.228028495	7.00E-06
Hs_planula_t.35971	OG0000316	RIMS1	-0.60879838	5.626925997	7.80E-06
Hs_planula_t.36173	OG0000380	ATP8A2	-0.707868917	6.375304837	1.92E-07
Hs_planula_t.71823	OG0000433	TYR	0.806790181	5.536434061	1.20E-07
Hs_planula_t.38528	OG0000470	GNAT1	-1.050793301	6.796860975	1.50E-09
Hs_planula_t.71193	OG0000489	EML2	3.443109839	6.584669438	1.31E-36
Hs_planula_t.81533	OG0000698	NR2E3	-1.038202552	5.500702946	2.36E-10
Hs_planula_t.37383	OG0000731	AOC2	-1.232877386	5.811937546	2.40E-19
Hs_planula_t.47734	OG0000928	IRX5	0.973810263	7.033200891	1.35E-12
Hs_planula_t.35740	OG0001088	DLL4	0.841799403	5.895089486	3.47E-09
Hs_planula_t.90667	OG0002175	BBS9	0.562671523	5.618866639	2.67E-05
Hs_planula_t.72997	OG0002585	POU4F3	-0.837662732	5.964188859	4.56E-09
Hs_planula_t.91957	OG0003740	MYO3B	1.080721888	5.015590297	3.19E-11
Hs_planula_t.25801	OG0004373	USH1G	1.178282169	5.551745977	4.55E-16
Hs_planula_t.74420	OG0004584	FAM161A	0.741232582	6.192512119	5.77E-08
Hs_planula_t.70828	OG0004757	FSCN2	1.67654307	7.084806085	1.96E-24
Hs_planula_t.47720	OG0004844	NOB1	1.130363364	6.69500937	5.89E-17
Hs_planula_t.25244	OG0004975	COL18A1	-1.022711794	7.588810767	2.10E-12
Hs_planula_t.84026	OG0005663	WDR36	1.01238405	4.352467631	2.04E-11
Hs_planula_t.24836	OG0006019	LAMB2	-0.827886476	8.217687072	4.11E-10
Hs_planula_t.25243	OG0006520	USH1C	0.733494117	5.091770795	1.10E-06
Hs_planula_t.90763	OG0006759	LAMC3	-2.216444971	7.436201755	4.47E-48
Hs_planula_t.24676	OG0007959	ADGRV1	0.822615379	6.353530974	2.93E-06


# Stage 2 vs Stage 3
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.26325	OG0000002	SEMA5B	-0.786359639	5.364047304	3.10E-07
Hs_planula_t.48076	OG0000002	SEMA5B	-0.844006974	5.16286602	7.83E-09
Hs_planula_t.88569	OG0000063	RRH	-0.762620311	4.543418175	1.46E-07
Hs_planula_t.92541	OG0000218	MIP	-1.02917042	5.408980576	2.98E-06
Hs_planula_t.24676	OG0007959	ADGRV1	0.952720843	6.249368329	1.18E-08
Hs_planula_t.74636	OG0007959	ADGRV1	0.798113341	5.288797451	4.60E-08


# Stage 2 vs Stage 4
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.48878	OG0000001	VAX2	-0.939753539	4.946329031	1.37E-07
Hs_planula_t.48076	OG0000002	SEMA5B	-0.896314225	5.104556145	9.54E-09
Hs_planula_t.24676	OG0007959	ADGRV1	0.947342806	6.200936668	1.19E-08


# Stage 3 vs Stage 4
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.49187	OG0000626	NRL	0.53994883	4.3324707	6.04E-06
Hs_planula_t.90763	OG0006759	LAMC3	-0.703970698	6.216339602	9.68E-13


#List of sig DEGs from 9.C
"Hs_planula_t.48076","Hs_planula_t.62380","Hs_planula_t.84960","Hs_planula_t.92541","Hs_planula_t.92543","Hs_planula_t.71193","Hs_planula_t.88622","Hs_planula_t.25801","Hs_planula_t.70828","Hs_planula_t.25244","Hs_planula_t.24836","Hs_planula_t.90763","Hs_planula_t.36207","Hs_planula_t.24723","Hs_planula_t.25097","Hs_planula_t.70841","Hs_planula_t.47554","Hs_planula_t.48675","Hs_planula_t.62380","Hs_planula_t.25179","Hs_planula_t.78332","Hs_planula_t.84960","Hs_planula_t.88759","Hs_planula_t.92543","Hs_planula_t.35971","Hs_planula_t.71823","Hs_planula_t.38528","Hs_planula_t.71193","Hs_planula_t.28270","Hs_planula_t.81533","Hs_planula_t.37383","Hs_planula_t.47734","Hs_planula_t.72997","Hs_planula_t.91957","Hs_planula_t.25801","Hs_planula_t.74420","Hs_planula_t.70828","Hs_planula_t.47720","Hs_planula_t.25244","Hs_planula_t.84026","Hs_planula_t.24836","Hs_planula_t.90763","Hs_planula_t.24676","Hs_planula_t.36207","Hs_planula_t.25097","Hs_planula_t.47554","Hs_planula_t.48675","Hs_planula_t.62380","Hs_planula_t.23286","Hs_planula_t.25179","Hs_planula_t.49134","Hs_planula_t.78332","Hs_planula_t.88759","Hs_planula_t.36723","Hs_planula_t.92543","Hs_planula_t.50251","Hs_planula_t.25278","Hs_planula_t.35971","Hs_planula_t.36173","Hs_planula_t.71823","Hs_planula_t.38528","Hs_planula_t.71193","Hs_planula_t.81533","Hs_planula_t.37383","Hs_planula_t.47734","Hs_planula_t.35740","Hs_planula_t.90667","Hs_planula_t.72997","Hs_planula_t.91957","Hs_planula_t.25801","Hs_planula_t.74420","Hs_planula_t.70828","Hs_planula_t.47720","Hs_planula_t.25244","Hs_planula_t.84026","Hs_planula_t.24836","Hs_planula_t.25243","Hs_planula_t.90763","Hs_planula_t.24676","Hs_planula_t.26325","Hs_planula_t.48076","Hs_planula_t.88569","Hs_planula_t.92541","Hs_planula_t.24676","Hs_planula_t.74636","Hs_planula_t.48878","Hs_planula_t.48076","Hs_planula_t.24676","Hs_planula_t.49187","Hs_planula_t.90763"




######## 2 Groups Summary ########

## Days 1&2 vs Days 3&4

# Stage 1 vs Stage 2  
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.25097	OG0000056	GUCY2F	0.759554911	4.880226871	1.42E-07
Hs_planula_t.70841	OG0000056	GUCY2F	0.568775434	6.043767296	8.31E-06
Hs_planula_t.48675	OG0000060	SOX14	-0.780560281	5.2485636	2.02E-06
Hs_planula_t.88759	OG0000093	CDH23	0.811569981	6.446754695	5.34E-07
Hs_planula_t.37383	OG0000731	AOC2	-0.811699542	5.651158854	1.24E-06
Hs_planula_t.91957	OG0003740	MYO3B	0.713796347	5.013480601	1.78E-06
Hs_planula_t.84026	OG0005663	WDR36	0.613308953	4.397709846	9.39E-06
Hs_planula_t.24676	OG0007959	ADGRV1	0.889208161	6.32765242	2.68E-09
Hs_planula_t.74636	OG0007959	ADGRV1	0.631143143	5.349108348	1.51E-06	

#List of sig DEGs from 9.C for 2 groups
"Hs_planula_t.25097","Hs_planula_t.70841","Hs_planula_t.48675","Hs_planula_t.88759","Hs_planula_t.37383","Hs_planula_t.91957","Hs_planula_t.84026","Hs_planula_t.24676","Hs_planula_t.74636"







